,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
254,255,SPITALUL DE PNEUMOFTIZIOLOGIE C�L�RASI,A50079,Calarasi,V,specialitate,public,fara invatamant,"STR. 1 DECEMBRIE 1918, NR.1, CALARASI",pneumocalarasi@gmail.com,tbc-calarasi.ro,CONSILIUL JUDETEAN CALARASI,Acreditat,Unitate aflata in proces de acreditare,,,
255,256,"SPITALUL JUDETEAN DE URGENTA CALARASI ""DR. POMPEI SAMARIAN",A50080,Calarasi,III,urgenta,public,fara invatamant,"Calarasi, str. 1 Decembrie 1918, nr. 1",spitaluljud.cl@gmail.com,www.spitaluljudeteancalarasi.ro,CONSILIUL JUDETEAN CALARASI,Acreditat,Unitate aflata in proces de acreditare,,,
256,257,SPITALUL MUNICIPAL OLTENITA,A50081,Calarasi,IV,general,public,fara invatamant,"Bulevardul Republicii, nr 40 Calarasi",spoltenita@yahoo.com,SPITALUL MUNICIPAL OLTENITA,Primaria Municipiului Oltenita,Acreditat,Unitate aflata in proces de acreditare,,,
257,258,SPITAL ORA?ENESC LEHLIU-GARA,A50082,Calarasi,IV,general,public,fara invatamant,"ORAS LEHLIU-GARA , STR. POMPIERI NR. 3, CALARASI",spital_lehliu@yahoo.com,www.spital.ro,CONSILIUL LOCAL LEHLIU-GARA,Acreditat,Unitate aflata in proces de acreditare,,,
258,259,"INSTITUTUL REGIONAL DE GASTROENTEROLOGIE-HEPATOLOGIE ""PROF. DR. OCTAVIAN FODOR"" CLUJ-NAPOCA",A50083,Cluj,I M,specialitate,public,institut,STR.CRISTIAN POPISTEANU NR.1-3,irghcj@irgh.ro,www.irgh.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
259,260,SOCIETATEA EUROTRAT SRL- SPITAL DE REABILITARE MEDICALA,A50084,Cluj,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,Fizesului nr.18,eurotrat@yahoo.ro,eurotrat.ro,Actionariat privat,Acreditat,Unitate aflata in proces de acreditare,,,
260,261,SPITAL CLINIC CAI FERATE CLUJ NAPOCA,A50085,Cluj,II,general,public,clinic cu sectii universitare,"Bucuresti,Sector 1,Str.Dinicu Golescu nr.38",spitalcliniccfcluj@gmail.com,spitalcliniccfcluj.ro,Ministerul Transporturilor,Acreditat,Unitate aflata in proces de acreditare,,,
261,262,"SPITALUL CLINIC DE PNEUMOFTIZIOLOGIE ""LEON DANIELLO"" CLUJ-NAPOCA",A50086,Cluj,II M,specialitate,public,clinic cu sectii universitare,"Calea Dorobantilor nr.106, Cluj-Napoca",spital_pneumo@yahoo.com,www.pneumocluj.ro,Consiliul Judetean Cluj,Acreditat,Unitate aflata in proces de acreditare,,,
262,263,SPITALUL CLINIC JUDETEAN DE URGENTA CLUJ-NAPOCA,A50087,Cluj,I,urgenta,public,clinic cu sectii universitare,"Str. Cristian Popisteanu, Nr. 1-3, Sector 1, Bucuresti",secretariat@scj-cj.rdscj.ro,www.scju-cluj.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
263,264,SPITALUL CLINIC MUNICIPAL CLUJ NAPOCA,A50088,Cluj,II,general,public,clinic cu sectii universitare,CALEA MOTILOR NR. 3,office@spitalclujana.ro,www.spitalclujana.ro,CONSILIUL LOCAL CLUJ NAPOCA,Acreditat,Unitate aflata in proces de acreditare,,,
264,265,"SPITALUL MUNICIPAL ,,DR. CORNEL IGNA,, CAMPIA TURZII",A50089,Cluj,IV,general,public,fara invatamant,"STR, LAMINORIsITILOR, NR.2 -4",spitalcampiaturzii@yahoo.com,www.spitalulcampiaturzii.ro,CONSILIUL LOCAL AL MUNICIPIULUI CaMPIA TURZII,Acreditat,Unitate aflata in proces de acreditare,,,
265,266,SPITALUL CLINIC DE PNEUMOFTIZIOLOGIE CONSTANTA,A50090,Constanta,II M,specialitate,public,clinic cu sectii universitare,"Bulevardul Tomis nr. 51, Constanta",secretariat@pneumoconstanta.ro,https://pneumoconstanta.ro/,Consiliul Judetean Constanta,Acreditat,Unitate aflata in proces de acreditare,,,
266,267,"SPITALUL CLINIC DE RECUPERARE, MEDICINA FIZICA ?I BALNEOLOGIE",A50091,Constanta,II M,afectiuni cronice,public,clinic cu sectii universitare,"strada Cristian Popisteanu nr 1-3, sector 1, Bucuresti",secretariat@efosan.ro,www.efosan.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
267,268,SPITALUL MUNICIPAL MANGALIA,A50092,Constanta,IV,general,public,fara invatamant,Soseaua Constantei nr.13,office@spitalul-mangalia.ro,www.spitalul-mangalia.ro,Primaria Mangalia,Acreditat,Unitate aflata in proces de acreditare,,,
268,269,SPITALUL MUNICIPAL TARGU SECUIESC,A50093,Covasna,IV,general,public,fara invatamant,Tg. Secuiesc Str. Gabor Aron Nr.24,spital_tgsecuiesc@yahoo.com,www.spitaltgsecuiesc.ro,Consiliul Local Tg. secuiesc,Acreditat,Unitate aflata in proces de acreditare,,,
269,270,SPITAL ORASENESC BARAOLT,A50094,Covasna,IV,general,public,fara invatamant,Str .Libertatii nr: 2,spitbar@spitbar.ro,www spitbar.ro,PRIMARIA ORASULUI BARAOLT,Acreditat,Unitate aflata in proces de acreditare,,,
270,271,SPITALUL JUDETEAN DE URGENTA TARGOVISTE,A50095,Dambovita,III,general,public,fara invatamant,"Piata Tricolorului 1 Targoviste, Dambovita",sptadmin@spitaldb.ro,spitaldb.ro,CONSILIUL JUDETEAN DAMBOVITA,Acreditat,Unitate aflata in proces de acreditare,,,
271,272,SPITALUL ORASENESC GAESTI,A50096,Dambovita,IV,general,public,fara invatamant,"Str. 13 Decembrie,102 A, Gaesti, Dambovita",spitalgaesti@yahoo.com,www.spitalgaesti.ro,Primaria Orasului Gaesti,Acreditat,Unitate aflata in proces de acreditare,,,
272,273,"SPITALUL ORASENESC ""ASEZAMINTELE BRANCOVENESTI"" DABULENI",A50097,Dolj,IV,general,public,fara invatamant,"Craiova, Calea Unirii nr 19",spital.dabuleni@yahoo.com,www.spitalulorasenescdabuleni.ro,Consiliul Judetean Dolj,Acreditat,Unitate aflata in proces de acreditare,,,
273,274,"SPITALUL CLINIC C. F. CRAIOVA, AMBULATORIU INTEGRAT AL SPITALULUI",A50098,Dolj,IV,pentru bolnavi cu afectiuni cronice,public,clinic cu sectii universitare,"BUCURESTI, Bld. Dinicu Golescu, nr. 38",spitalulccfcraiova@yahoo.com,http://spitalcf.oltenia.ro,MINISTERUL TRANSPORTURILOR INFRASTRUCTURII SI COMUNICATIILOR,Acreditat,Unitate aflata in proces de acreditare,,,
274,275,"SPITALUL CLINIC DE BOLI INFECTIOASE ?I PNEUMOFTIZIOLOGIE ""VICTOR BABE?"" CRAIOVA",A50099,Dolj,II M,specialitate,public,clinic cu sectii universitare,"STR.A.I.CUZA, NR.7, CRAIOVA",vbabes@rdscv.ro,www.vbabes-cv.ro,PRIMARIA MUNICIPIULUI CRAIOVA,Acreditat,Unitate aflata in proces de acreditare,,,
275,276,SPITALUL CLINIC MUNICIPAL FILANTROPIA CRAIOVA,A50100,Dolj,IV,general,public,clinic cu sectii universitare,"Str. A.I. Cuza, nr.7",secretariat@filantropia.ro,www.filantropia.ro,Consiliul Local Craiova,Acreditat,Unitate aflata in proces de acreditare,,,
276,277,SPITALUL CLINIC JUDETEAN DE URGENTA CRAIOVA,A50101,Dolj,II,urgenta,public,clinic cu sectii universitare,"str. Cristian Popisteanu, nr 1-3, sect 1, Bucuresti",scjuc.craiova@gmail.com,www.scjuc.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
277,278,"SPITALUL CLINIC DE OBSTETRICA GINECOLOGIE ""BUNA VESTIRE"" GALATI",A50102,Galati,V,specialitate,public,clinic cu sectii universitare,"STR. DOMNEASCA, NR. 54",spitalog.galati@gmail.com,maternitategl.ro,PRIMARIA MUNICIPIULUI GALATI,Acreditat,Unitate aflata in proces de acreditare,,,
278,279,SPITALUL DE PNEUMOFTIZIOLOGIE GALATI,A50103,Galati,V,specialitate,public,fara invatamant,"str.Eroilor, nr.7, Mun.Galati",spitalultbc@gmail.com,www.pneumogalati.ro,CONSILIUL JUDEtEAN GALAtI,Acreditat,Unitate aflata in proces de acreditare,,,
279,280,SPITALUL GENERAL C.F. GALATI,A50104,Galati,IV,general,public,fara invatamant,"BDUL. DINICU GOLESCU NR. 38, SECTOR 1, BUCURESTI",spitalcfgl@yahoo.com,http://www.spitalgeneralcfgalati.ro/,MINISTERUL TRANSPORTURILOR sI INFRASTRUCTURII,Acreditat,Unitate aflata in proces de acreditare,,,
280,281,SPITALUL DE PNEUMOFTIZIOLOGIE IZVORU,A50105,Giurgiu,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Bulevardul Bucuresti Nr.10, Giurgiu , Cod postal: 080045",secretariat@spital-izvoru.ro,www.spital-izvoru.ro,CONSILIUL JUDETEAN GIURGIU,Acreditat,Unitate aflata in proces de acreditare,,,
281,282,SPITALUL JUDETEAN DE URGENTA GIURGIU,A50106,Giurgiu,III,urgenta,public,fara invatamant,"Bulevardul Bucuresti Nr.10, Giurgiu, Cod postal: 080045",secretariat@spitalgiurgiu.ro,https://spitalgiurgiu.ro/,Consiliul Judetean Giurgiu,Acreditat,Unitate aflata in proces de acreditare,,,
282,283,SPITALUL JUDETEAN DE URGENTA TARGU JIU,A50107,Gorj,III,urgenta,public,fara invatamant,"Targu Jiu, str. Victoriei, nr.2-4, Judetul Gorj, Cod. 210165",office@spitalgorj.ro,www.spitalgorj.ro,CONSILIUL JUDEtEAN GORJ,Acreditat,Unitate aflata in proces de acreditare,,,
283,284,"SPITALUL ORASENESC ,,SF.STEFAN'' ROVINARI",A50108,Gorj,IV,general,public,fara invatamant,"STR.FLORILOR NR.2,LOC.ROVINARI,JUD.GORJ",office@spitalrovinari.ro,www.spitalrovinari.ro,PRIMARIA ORAS ROVINARI,Acreditat,Unitate aflata in proces de acreditare,,,
284,285,SPITALUL ORA?ENESC TURCENI,A50109,Gorj,IV,general,public,fara invatamant,"Str.Muncii, Nr.12, Oras Turceni, Judetul Gorj",spitalulorasenescturceni@yahoo.com,www.spitalturceni.ro,"CONSILIUL LOCAL TURCENI, PRIMARIA ORASULUI TURCENI",Acreditat,Unitate aflata in proces de acreditare,,,
285,286,SPITALUL DE PSIHIATRIE ZAM,A50110,Hunedoara,V,specialitate,public,fara invatamant,"Str Cristian Popisteanu,nr 1-3,sector 1,Bucuresti",secretariat@spzam.ro,www.spzam.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
286,287,SPITAL DE URGENTA PETROSANI,A50111,Hunedoara,III,urgenta,public,fara invatamant,"Str. 1 Decembrie 1918, nr. 93, Petrosani, Hunedoara.",spital@spu-petrosani.ro,www.spu-petrosani.ro,PRIMaRIA MUNICIPIULUI PETROsANI,Acreditat,Unitate aflata in proces de acreditare,,,
287,288,SPITALUL GENERAL CF SIMERIA,A50112,Hunedoara,IV,general,public,fara invatamant,"Bulevardul Dinicu Golescu nr. 38, Sector 1, Bucuresti, Cod po?tal 010873",secretariat@spitalgeneralcfsimeria.ro,http://www.spitalgeneralcfsimeria.ro,Ministerul Transporturilor si Infrastructurii,Acreditat,Unitate aflata in proces de acreditare,,,
288,289,SPITAL MUNICIPAL BRAD,A50113,Hunedoara,IV,general,public,fara invatamant,"Brad, strada independentei, nr. 2",spital.brad@gmail.com,www.spitalbrad.ro,Consiliul local al municipiului Brad,Acreditat,Unitate aflata in proces de acreditare,,,
289,290,SPITALUL MUNICIPAL LUPENI,A50114,Hunedoara,IV,general,public,fara invatamant,"Lupeni, Str. Revolutiei Nr.2 , Jud. Hunedoara",secretariat@spital-lupeni.ro,www.spital-lupeni.ro,Autoritatea Administratiei Publice Locale Lupeni,Acreditat,Unitate aflata in proces de acreditare,,,
290,291,"SPITALUL MUNICIPAL ""ANGHEL SALIGNY"" FETESTI",A50115,Ialomita,IV,general,public,fara invatamant,"Fetesti, str. Calarasi, nr. 595, bl. CF3, sc.A, et.II-IV",office@spitalfetesti.ro,www.spitalfetesti.ro,PRIMARIA MUNICIPIULUI FETESTI,Acreditat,Unitate aflata in proces de acreditare,,,
291,292,SPITALUL MUNICIPAL URZICENI,A50116,Ialomita,IV,general,public,fara invatamant,"Calea Bucuresti, nr.102",smurziceni@gmail.com,spitalul-urziceni.ro,Primaria Municipiului Urziceni,Acreditat,Unitate aflata in proces de acreditare,,,
292,293,INSTITUTUL DE PSIHIATRIE SOCOLA IASI,A50117,Iasi,II M,specialitate,public,institut,"Bucuresti, str.Cristian Popisteanu nr.1-3, sector 1",secretariat@socola.eu,socola.eu,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
293,294,SOCIETATEA VITAL MEDICAL CENTER MEMORY SRL,A50118,Iasi,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,UNITATE PRIVATA,office@memoryhospital.ro,www.memoryhospital.ro,UNITATE PRIVATA,Acreditat,Unitate aflata in proces de acreditare,,,
294,295,SOCIETATEA RED HOSPITAL SRL - SPITALUL SF SAVA IASI,A50119,Iasi,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Pta .Lahovari,nr.1,sect 1 Bucuresti",office@sfsava.ro,www.recumedis.ro,privat,Acreditat,Unitate aflata in proces de acreditare,,,
295,296,SPITALUL CLINIC �DR. C. I. PARHON�,A50120,Iasi,I M,specialitate,public,clinic cu sectii universitare,"Bd. Stefan cel Mare si Sfant nr. 11, 700064 Iasi",secretariat@spitalulparhoniasi.ro,www.parhoniasi.ro,PRIMARIA MUNICIPILUI IASI,Acreditat,Unitate aflata in proces de acreditare,,,
296,297,"SPITALUL CLINIC DE BOLI INFECTIOASE ""SFANTA PARASCHEVA"" IA?I",A50121,Iasi,II M,specialitate,public,clinic cu sectii universitare,Iasi,secretariat@infectioase.ro,www.infectioase.ro,Consiliul Judetean Iasi,Acreditat,Unitate aflata in proces de acreditare,,,
297,298,"SPITAL CLINIC DE OBSTETRICA GINECOLOGIE ""ELENA DOAMNA",A50122,Iasi,II M,specialitate,public,clinic cu sectii universitare,"Iasi, Bld St Cel Mare si Sfant nr 69",contact@spitalelenadoamna.ro,www.spitalelenadoamna.ro,Consiliul Judetean Iasi,Acreditat,Unitate aflata in proces de acreditare,,,
298,299,SPITALUL CLINIC DE PNEUMOFTIZIOLOGIE IASI,A50123,Iasi,II M,specialitate,public,clinic cu sectii universitare,"Bd. ?tefan cel Mare ?i Sfant, nr. 69, Ia?i",sp_pneumoftiziologie@yahoo.com,www.pneumo-iasi.ro,CONSILIUL JUDETEAN IASI,Acreditat,Unitate aflata in proces de acreditare,,,
299,300,"SPITALUL CLINIC DE URGENTA PENTRU COPII ""SF. MARIA"" IASI",A50124,Iasi,II M,urgenta,public,clinic cu sectii universitare,"Bd. Stefan cel Mare si Sfant nr. 69, Iasi",sp_sfmaria_iasi@yahoo.com,WWW.SFMARIA-IASI.RO,CONSILIUL JUDETEAN IASI,Acreditat,Unitate aflata in proces de acreditare,,,
300,301,SPITALUL DE PSIHIATRIE SI PENTRU MASURI DE SIGURANTA PADURENI GRAJDURI,A50125,Iasi,III,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Bucuresti, Sector 1, Str. Cristian Popisteanu, nr. 1-3",office@spitalgrajduri.ro,www.spitalgrajduri.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
301,302,PENITENCIARUL-SPITAL BUCURESTI-JILAVA,A50126,Ilfov,III,general,public,fara invatamant,"Str. Maria Ghiculeasa nr. 47, sector 2, Bucuresti",spjilava@anp.gov.ro,http://anp.gov.ro/web/penitenciarul-spital-bucuresti-jilava,Administratia Nationala a Penitenciarelor,Acreditat,Unitate aflata in proces de acreditare,,,
302,303,SPITALUL CLINIC JUDETEAN DE URGENTA ILFOV,A50127,Bucuresti,III,urgenta,public,clinic cu sectii universitare,"Str. Gheorghe Manu, Nr.18, Sector 1, Bucuresti",secretariat@spitalulilfov.ro,scjuilfov-asec.ro,CONSILIUL JUDETEAN ILFOV,Acreditat,Unitate aflata in proces de acreditare,,,
303,304,SPITALUL DE PSIHIATRIE EFTIMIE DIMANDESCU BALACEANCA,A50128,Ilfov,V,specialitate,public,fara invatamant,"Bucuresti, Str. Ernest Juvara, nr.3-5, sector 6",spitalbalaceanca@gmail.com,www.eftimiediamandescu.ro,CONSILIUL JUDETEAN ILFOV,Acreditat,Unitate aflata in proces de acreditare,,,
304,305,SPITALUL ORASENESC TG. LAPUS,A50129,Maramures,IV,general,public,fara invatamant,"ORAS TG. LAPUS, STR. TIBLESULUI, NR. 2, JUD. MARAMURES",secretariat@spitaltglapus.ro,www.spitaltglapus.ro,CONSILIUL LOCAL AL ORASULUI TG. LAPUS,Acreditat,Unitate aflata in proces de acreditare,,,
305,306,SPITALUL ORASENESC VISEU DE SUS,A50130,Maramures,IV,general,public,fara invatamant,"Str. 22 Decembrie, Nr. 19, VISEU DE SUS, MARAMURES",statistica@spitalviseu.ro,www.spitalviseu.ro,CONSILIUL LOCAL VISEU DE SUS,Acreditat,Unitate aflata in proces de acreditare,,,
306,307,SPITALUL GENERAL CAI FERATE DROBETA TURNU SEVERIN,A50131,Mehedinti,IV,general,public,fara invatamant,"Bulevardul Dinicu Golescu, nr 38, sector 1, Bucuresti",secretariat@spitalcfdrobeta.ro,www.spitalcfdrobeta.ro,Ministerul Transporturilor si Infrastructurii,Acreditat,Unitate aflata in proces de acreditare,,,
307,308,SPITALUL JUDETEAN DE URGENTA DR. TR. SEVERIN,A50132,Mehedinti,III,urgenta,public,fara invatamant,"Calea Traian nr.89, Drobeta Turnu Severin, Judetul Mehedinti.",oficial@spitjudseverin.ro,http://www.spitjudseverin.ro/,Consiliul Judetean Mehedinti,Acreditat,Unitate aflata in proces de acreditare,,,
308,309,SPITALUL MUNICIPAL DR.EUGEN NICOARA REGHIN,A50134,Mures,IV,general,public,fara invatamant,"PIAtA PETRU MAIOR NR. 41, LOC. REGHIN, JUD. MUREs, COD.545300",secretariat@spitalreghin.ro,www.spitalreghin.ro,CONSILIUL LOCAL AL PRIMaRIEI MUNICIPIULUI REGHIN,Acreditat,Unitate aflata in proces de acreditare,,,
309,310,"SPITALUL ORASENESC,,DR.VALER RUSSU''LUDUS",A50135,Mures,IV,general,public,fara invatamant,B-DUL I DECEMBRIE 1918 NR.26,spludus@gmail.com,www.spital-ludus.ro,PRIMARIA ORASULUI LUDUS,Acreditat,Unitate aflata in proces de acreditare,,,
310,311,"SANATORIUL DE BALNEOFIZIOTERAPIE ?I RECUPERARE MEDICALA ,,DR.DIMITRIE CANTEMIR"" BALTATE?TI",A50136,Neamt,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"str. Institutului Medico-Militar, nr. 3-5, sector 1",statiuneabaltatesti@mapn.ro,www.statiuneabaltatesti.org.ro,DIRECTIA MEDICALA,Acreditat,Unitate aflata in proces de acreditare,,,
311,312,SPITALUL MUNICIPAL CARACAL,A50137,Olt,IV,general,public,fara invatamant,"Caracal, str. PiaTa Victoriei , nr. 10, jud. Olt",smcaracal@gmail.com,smcaracal.webs.com,Consiliul Local Caracal,Acreditat,Unitate aflata in proces de acreditare,,,
312,313,SPITALUL JUDETEAN DE URGENTA SLATINA,A50138,Olt,III,urgenta,public,fara invatamant,Bulevardul A.I.CUZA nr.14,spjslatina1@rdslink.ro,spjslatina.ro,CONSILIUL JUDETEAN OLT,Acreditat,Unitate aflata in proces de acreditare,,,
313,314,SPITALUL ORASENESC CORABIA,A50139,Olt,IV,general,public,fara invatamant,CORABIA,spitalcorabia@yahoo.com,www.spitalcorabia.ro,CONSILIUL LOCAL,Acreditat,Unitate aflata in proces de acreditare,,,
314,315,SPITAL OBSTETRICA GINECOLOGIE PLOIESTI,A50140,Prahova,V,specialitate,public,fara invatamant,"Loc. Ploiesti, B-dul Republicii, nr.2-4, Jud. Prahova",secretariat@maternitate-ploiesti.ro,www.maternitate-ploiesti.ro,CONSILIUL JUDETEAN PLOIESTI,Acreditat,Unitate aflata in proces de acreditare,,,
315,316,SPITALUL DE PNEUMOFTIZIOLOGIE FLORESTI,A50141,Prahova,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Floresti, str. Principala nr. 604",tbcflorestiph@yahoo.com,www. Spital-floresti.ro,CONSILIUL LOCAL AL COMUNEI FLORESTI,Acreditat,Unitate aflata in proces de acreditare,,,
316,317,SPITALUL GENERAL C.F.PLOIE?TI,A50142,Prahova,IV,general,public,fara invatamant,"Bl.Dinicu Golescu.,nr.38, sector 1",spcfpl@yahoo.com,http://www.spitalcfploiesti.ro/,Ministerul Transporturilor infrastructurii,Acreditat,Unitate aflata in proces de acreditare,,,
317,318,SPITALUL JUDETEAN DE URGENTA PLOIE?TI,A50143,Prahova,III,urgenta,public,fara invatamant,"B-dul. Republicii, nr.2-4, Palatul Administrativ, mun. Ploiesti, Jud. Prahova",secretariat@sjup.ro,www.sjup.ro,Consiliul Judetean Prahova,Acreditat,Unitate aflata in proces de acreditare,,,
318,319,SANATORIUL BALNEOCLIMATERIC DE COPII,A50144,Prahova,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",sanatoriulbusteni@gmail.com,www.sanatoriulbusteni.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
319,320,"SPITALUL ORASENESC ,, SFANTA FILOFTEIA'' MIZIL",A50145,Prahova,IV,general,public,fara invatamant,"Str. Bulevardul Unirii, nr. 14",managementul-calitatii@spitalmizil.ro,www.spitalmizil.ro,Consiliul Local Mizil,Acreditat,Unitate aflata in proces de acreditare,,,
320,321,SPITALUL ORASENESC BAICOI,A50146,Prahova,IV,general,public,fara invatamant,"BAICOI, STR.UNIRII, NR.21",spitalul_o_baicoi@yahoo.com,spitalulorasenescbaicoi.ro,CONSILIUL LOCAL BAICOI,Acreditat,Unitate aflata in proces de acreditare,,,
321,322,SPITALUL ORASENESC SINAIA,A50147,Prahova,IV,general,public,fara invatamant,"Carol I, 47 Sinaia, Prahova,cod 106100",spitalsinaia@yahoo.com,www.spitalsinaia.ro,Consiliul Local Sinaia,Acreditat,Unitate aflata in proces de acreditare,,,
322,323,SPITAL JUDETEAN DE URGENTA SATU MARE,A50148,Satu Mare,III,urgenta,public,fara invatamant,P-ta 25 Octombrie Nr.1 Satu Mare,office@sjusm.ro,www.sjusm.ro.,Consiliul Judetean Satu Mare,Acreditat,Unitate aflata in proces de acreditare,,,
323,324,SPITALUL MUNICIPAL CAREI,A50149,Satu Mare,IV,general,public,fara invatamant,str 1 Decembrie 1918 nr.40,office@spitalcarei.ro,www.spitalcarei.ro,Consiliul Local Carei,Acreditat,Unitate aflata in proces de acreditare,,,
324,325,SPITALUL ORA?ENESC NEGRE?TI OA?,A50150,Satu Mare,IV,general,public,fara invatamant,PIATA 25 OCTOMBRIE nr. 1,spitalnegrestioas@yahoo.com,www.spitalnegrestioas.ro,CONSILIUL JUDETEAN SATU MARE,Acreditat,Unitate aflata in proces de acreditare,,,
325,326,S.C. SALVOSAN CIOBANCA I S.R.L.,A50151,Salaj,V,specialitate,privat,fara invatamant,"Localitatea Zalau, JudeTul Salaj, Strada Dumbrava Nr. 48, Bloc TCI",salvosan@salvosan.ro,www.salvosan.ro,S.C. SALVOSAN CIOBANCA I S.R.L.,Acreditat,Unitate aflata in proces de acreditare,,,
326,327,"SPITALUL ORASENESC ""PROF.DR.IOAN PUSCAS"" SIMLEU SILVANIEI",A50152,Salaj,IV,general,public,fara invatamant,"STR.PIATA LIBERTATII, NR.3, SIMLEU SILVANIEI",spitalsimleu@yahoo.com,www.spitalsimleu.ro,CONSILIUL LOCAL AL ORASULUI SIMLEU SILVANIEI,Acreditat,Unitate aflata in proces de acreditare,,,
327,328,CENTRUL MEDICAL DE RECUPERARE SI INGRIJIRI PALIATIVE,A50153,Sibiu,Neclasificat,specialitate,privat,fara invatamant,"Str. Principala, nr. 11, Laslea, jud. Sibiu",lukasspital@yahoo.com,www.lukasspitallaslea.net,Asociatia Medical Crestina Lukas Spital,Acreditat,Unitate aflata in proces de acreditare,,,
328,329,SPITALUL MUNICIPAL MEDIAS,A50154,Sibiu,IV,general,public,fara invatamant,P-Ta Corneliu Coposu nr.3,info@spitalulmedias.ro,www.spitalulmedias.ro,Primaria Municipiului Medias / Consiliul Local Medias,Acreditat,Unitate aflata in proces de acreditare,,,
329,330,SPITALUL DE BOLI CRONICE SIRET,A50155,Suceava,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,28 Noiembrie nr. 1,orasenescsiret@yahoo.com,www.spitalorasenescsiret.ro,UAT ORAS SIRET,Acreditat,Unitate aflata in proces de acreditare,,,
330,331,SPITALUL MUNICIPAL FALTICENI,A50156,Suceava,IV,general,public,fara invatamant,STR. REPUBLICII NR. 13,secretariat@spital-falticeni.ro,spital-falticeni.ro,MUNICIPIUL FALTICENI - CONSILIUL LOCAL,Acreditat,Unitate aflata in proces de acreditare,,,
331,332,SPITALUL MUNICIPAL VATRA DORNEI,A50157,Suceava,IV,general,public,fara invatamant,"STR. Mihai Eminescu nr.17, VATRA DORNEI, JUD. SUCEAVA, COD POsTAL 725700",spitalmunicipaldorna@yahoo.com,www.spitalvatradornei.ro,CONSILIUL LOCAL AL MUNICIPIULUI VATRA DORNEI,Acreditat,Unitate aflata in proces de acreditare,,,
